,xcms_id,mz,rt,MaxInto,Baseline,Integration,Noise,rtmin,rtmax,snRatio
M961T27,M961T27,960.85445760946,27.2147,8975.720703125,4957.81396484375,19.1087341308594,0.0740740740740741,24.8603992462158,30.1054992675781,5.55283520031254
M961T31,M961T31,960.85445760946,31.063,7120.35400390625,4957.81396484375,8.17356109619141,0.0493827160493827,30.5144996643066,33.5371017456055,5.10905948214551
M961T38,M961T38,960.85445760946,37.7263,8633.361328125,4957.81396484375,22.0108261108398,0.0740740740740741,33.089599609375,41.8722991943359,5.69422411371046
M902T3,M902T3,901.728925843574,2.9582,19433.984375,12487.60546875,41.0410194396973,0.12621359223301,0.19539999961853,12.0085000991821,5.78435167147067
M902T16,M902T16,901.728925843574,15.5717,15310.8291015625,12487.60546875,3.7868537902832,0.0388349514563107,12.0446996688843,16.5717010498047,4.57997016696172
M902T19,M902T19,901.728925843574,19.3352,22864.775390625,12487.60546875,8.80682373046875,0.0388349514563107,16.9262008666992,20.3351993560791,5.42396147202501
M902T22,M902T22,901.728925843574,21.7683,16974.544921875,12487.60546875,6.33304977416992,0.0388349514563107,21.2096996307373,24.0715999603271,5.09421654410627
M902T29,M902T29,901.728925843574,29.1055,20095.294921875,12487.60546875,15.5896377563477,0.0485436893203883,25.3904991149902,30.1054992675781,5.77189752295368
M902T31,M902T31,901.728925843574,31.063,18629.83203125,12487.60546875,20.9066925048828,0.106796116504854,30.5144996643066,45.092399597168,5.27690303868861
M939T2,M939T2,938.689041402108,2.4206,2989.27026367188,1693.79431152344,5.6211314201355,0.0625,1.50789999961853,5.19220018386841,4.49912168619197
M939T14,M939T14,938.689041402108,14.2572,9967.1171875,1693.79431152344,90.557502746582,0.2125,9.44550037384033,34.089599609375,6.05479832901412
M939T42,M939T42,938.689041402108,42.4727,1996.29248046875,1693.79431152344,1.67378997802734,0.05,37.7262992858887,43.4726982116699,3.51082277659585
M939T49,M939T49,938.689041402108,49.122,1932.18786621094,1693.79431152344,0.724372863769531,0.0375,45.75,51.8825988769531,2.96096533204622
M939T21,M939T21,939.325954070792,21.2097,4547.51318359375,969.060485839844,90.9868545532227,0.318181818181818,12.0446996688843,26.3904991149902,5.65584734492607
M920T4,M920T4,919.771126677524,4.1922,4997.267578125,3545.8232421875,3.61774444580078,0.043010752688172,2.42059993743896,5.19220018386841,4.43215588240474
M920T9,M920T9,919.771126677524,9.4455,4115.8466796875,3545.8232421875,1.22752046585083,0.043010752688172,8.43529987335205,11.1900997161865,3.35130138537181
M920T14,M920T14,919.771126677524,14.2572,5635.26904296875,3545.8232421875,4.72303199768066,0.032258064516129,12.0446996688843,15.2572002410889,4.98643817023975
M920T23,M920T23,919.771126677524,23.0716,7223.4677734375,3545.8232421875,22.3880100250244,0.0967741935483871,15.5717000961304,24.6040992736816,5.44390046463167
M920T25,M920T25,919.771126677524,25.3905,12386.775390625,3545.8232421875,59.4841384887695,0.129032258064516,24.8603992462158,37.1758995056152,6.13340254035739
M920T39,M920T39,919.771126677524,39.2974,5918.4697265625,3545.8232421875,5.11865997314453,0.032258064516129,37.7262992858887,41.8722991943359,5.06687988528565
M926T9,M926T9,925.797259562011,9.4455,4595.58935546875,3044.97509765625,4.4189600944519,0.0533333333333333,8.43529987335205,11.1900997161865,4.41709814807661
M926T27,M926T27,925.797259562011,27.2147,6512.458984375,3044.97509765625,57.1936836242676,0.186666666666667,12.0446996688843,28.2147006988525,5.72487425006022
M926T31,M926T31,925.797259562011,30.5145,6270.42236328125,3044.97509765625,27.9941787719727,0.0933333333333333,28.5688991546631,35.6514015197754,5.70357455204082
M926T39,M926T39,925.797259562011,39.2974,4231.1474609375,3044.97509765625,3.68588256835938,0.04,36.1758995056152,40.2974014282227,4.52338582478016
M945T4,M945T4,944.758842202206,4.1922,2873.12915039063,2349.10473632813,2.97576665878296,0.0694444444444444,2.95819997787476,6.95340013504028,3.75772991281174
M945T13,M945T13,944.758842202206,12.9516,8266.9658203125,2349.10473632813,40.5984268188477,0.0972222222222222,11.0085000991821,20.3351993560791,6.03448528751345
M945T22,M945T22,944.758842202206,21.7683,5877.7607421875,2349.10473632813,49.8259811401367,0.166666666666667,20.0226001739502,37.1758995056152,5.7002960268568
M962T2,M962T2,961.828655232341,2.4206,5960.85205078125,3673.21899414063,15.7020978927612,0.0563380281690141,0.19539999961853,3.95819997787476,5.63017984309158
M962T5,M962T5,961.828655232341,4.9284,6287.23583984375,3673.21899414063,12.2762994766235,0.0422535211267606,4.19220018386841,6.95340013504028,5.67173812012668
M962T13,M962T13,961.828655232341,12.9516,6972.38916015625,3673.21899414063,18.3162498474121,0.0985915492957746,12.0446996688843,20.3351993560791,5.22455836362536
M962T24,M962T24,961.828655232341,23.6041,5846.03759765625,3673.21899414063,13.0811233520508,0.0422535211267606,23.0715999603271,26.3904991149902,5.73523781389882
M962T33,M962T33,961.828655232341,33.0896,4752.806640625,3673.21899414063,4.12226104736328,0.028169014084507,32.5371017456055,35.6514015197754,4.98593450721202
M962T39,M962T39,961.828655232341,39.2974,4634.1240234375,3673.21899414063,8.93396759033203,0.0704225352112676,36.1758995056152,43.4726982116699,4.84310255985338
M903T8,M903T8,902.796706917612,7.7001,90304.9375,43862.078125,98.7343368530273,0.352,0.19539999961853,46.75,5.63655688043816
M909T4,M909T4,908.775321412916,4.1922,12860.220703125,8830.47265625,4.34904050827026,0.0695652173913043,0.19539999961853,6.95340013504028,4.13544583464281
