id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,mzCalc,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction,fileName,scanId
M186T459,186.112640380859,459.139,359927.21875,C09089,186.1157,C12H14N2,Calligonine,[M]+,0,16,Ms1,0,0,0,0.25,2,0,0,0.00425562157200332,M160T282: C00398,C00398,RC01568,C8x-C8y:*-C1y:C8y+N4x-C8y+N4x N1a-N1x:*-C1y:C1b-C1x,,0
M121T459,121.06470489502,459.34,340641.71875,C02083,120.0575,C8H8O,Styrene oxide,[M+H]+,0,5,Ms2,0.936422377626801,0.82211633777558,0.428571428571429,0.0122613302320682,28,0,0,0.000611134725342799,M121T442: C00601,C00601,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T459,121.06470489502,459.34,340641.71875,C20782,120.0575,C8H8O,(S)-2-Phenyloxirane,[M+H]+,0,5,Ms2,0.936422377626801,0.82211633777558,0.428571428571429,0.0122613302320682,28,0,0,0.000611134725342799,M121T442: C00601,C00601,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M121T459,121.06470489502,459.34,340641.71875,C00601,120.0575,C8H8O,Phenylacetaldehyde,[M+H]+,0,5,Ms2,0.936422377626801,0.82211633777558,0.428571428571429,0.0122613302320682,28,0,0,0.000611134725342799,M121T442: C02083,C02083,RC00758,C1b-C1y:*-O2x:C4a+C8y-C1x+C8y C4a-C1x:*-*:C1b+O4a-C1y+O2x O4a-O2x:*-C1y:C4a-C1x,,0
M164T460,164.070343017578,460.18,2263258.75,C19567,163.0633,C9H9NO2,4-Oxo-1-(3-pyridyl)-1-butanone,[M+H]+,0,5,Ms1,0,0,0,0.25,2,0,0,0.00223501571116502,M180T404: C19569,C19569,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M164T460,164.070343017578,460.18,2263258.75,C02431,164.0685,C6H12O5,L-Rhamnofuranose,[M]+,0,11,Ms1,0,0,0,0.25,2,0,0,0.0031121902949236,M162T419: C02991,C02991,RC00066,C1y-C7x:*-*:C1y+O1a+O2x-C1y+O6a+O7x,,0
M164T460,164.070343017578,460.18,2263258.75,C07326,164.0685,C6H12O5,"1,5-Anhydro-D-glucitol",[M]+,0,11,Ms1,0,0,0,0.25,2,0,0,0.0031121902949236,M162T419: C06485,C06485,RC00154,C1y-C5x:*-*:C1x+C1y+O1a-C1x+C1y+O5x,,0
M164T460,164.070343017578,460.18,2263258.75,C16538,164.0685,C6H12O5,"1,5-Anhydro-D-mannitol",[M]+,0,11,Ms1,0,0,0,0.25,2,0,0,0.0031121902949236,M162T419: C06485,C06485,RC00154,C1y-C5x:*-*:C1x+C1y+O1a-C1x+C1y+O5x,,0
M132T460,132.101593017578,460.379,1541790.875,C06593,113.0841,C6H11NO,epsilon-Caprolactam,[M+H+H2O]+,0,7,Ms2,1,1,1,0.0625,21,0,0,0.000500747689599734,M132T42: C02378,C02378,RC00931,C5x-C6a:N1x+*-*+O6a:C1x+O5x-C1b+O6a N1x-N1a:C5x-*:C1x-C1b,,0
M105T461,105.04224395752,460.583,250229.359375,C00740,105.0426,C3H7NO3,D-Serine,[M]+,0,3,Ms2,0.994099754239979,1,0.5,0.994099754239979,3,0,0,0.000340395806610827,M105T364: C00065,C00065,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a,,0
M327T462,327.133911132813,461.76,534899.125,C19758,326.1213,C12H22O10,beta-D-Galactosyl-(1->4)-L-rhamnose,[M+H]+,0,15,Ms2,0.982881291121444,0.562131533360201,0.111111111111111,0.562131533360201,2,0,0,0.000776419615949875,M164T478: C00507,C00507,RC00049,O1a-O2a:*-C1y:C1y-C1y,,0
M327T462,327.133911132813,461.76,534899.125,C20354,326.1213,C12H22O10,3-O-alpha-D-Glucopyranosyl-L-rhamnopyranose,[M+H]+,0,15,Ms2,0.982881291121444,0.562131533360201,0.111111111111111,0.562131533360201,2,0,0,0.000776419615949875,M164T478: C00507,C00507,RC00049,O1a-O2a:*-C1y:C1y-C1y,,0
M327T462,327.133911132813,461.76,534899.125,C08247,326.1213,C12H22O10,Rutinose,[M+H]+,0,15,Ms1,0,0,0,0.25,2,0,0,0.00379585618867218,M610T486: C09755,C09755,RC00714,O1a-O2a:*-C8y:C1y-C1y,,0
M327T462,327.133911132813,461.76,534899.125,C20516,326.1267,C18H18N2O4,Cyclo(L-tyrosyl-L-tyrosyl),[M+H]+,0,2,Ms1,0,0,0,0.25,2,0,0,0.00195874090483605,M343T260: C20517,C20517,RC03125,C8x-C8y:*-C8y:C8x+C8y-C8x+C8y C8x-C8y:*-C8y:C8x+C8y-C8x+C8y,,0
M327T462,327.133911132813,461.76,534899.125,C04332,326.1226,C13H18N4O6,"6,7-Dimethyl-8-(D-ribityl)lumazine",[M+H]+,0,11,Ms1,0,0,0,0.25,2,0,0,0.00301468094677304,M377T391: C00255,C00255,RC00958,C1a-C8x:*-C8y:C8y-C8y C1a-C8x:*-C8y:C8y-C8y,,0
M102T463,102.033729553223,462.583,1744826.125,C00232,102.0317,C4H6O3,Succinate semialdehyde,[M]+,0,20,Ms1,0,0,0,5.55111512312578E-17,28,0,0,0.00808408041142594,M118T618: C15987,C15987,RC00225,C1b-C4a:N1b+*-*+O4a:C1b-C1b,,0
M350T463,350.207397460938,462.767,539928.1875,C04707,350.2093,C20H30O5,"(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate",[M]+,0,5,Ms1,0.34125765757306,0.0460752657771391,0,0.25,2,0,0,0.00164077384886974,M353T660: C00584,C00584,RC00241,C1c-C5a:*-*:C1b+C2b+O1a-C1b+C2b+O5a,,0
M350T463,350.207397460938,462.767,539928.1875,C04758,350.2093,C20H30O5,"(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate",[M]+,0,5,Ms1,0.34125765757306,0.0460752657771391,0,0.25,2,0,0,0.00164077384886974,M353T660: C00696,C00696,RC00241,C1c-C5a:*-*:C1b+C2b+O1a-C1b+C2b+O5a,,0
