id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M252T1022,252.071212768555,1022.34246,2643064.181854,C05648,252.0746,C11H12N2O5,5-Hydroxy-N-formylkynurenine,[M]+,13,Ms1,0.161112672231693,0.160794034293422,0,2.38418579101563E-07,12,0,0,0.00324929925604911,M224T986: C05651,C05651,RC00263,N1a-N1b:*-C4a:C8y-C8y
M217T63,217.0146484375,62.553408,4398306.129593,C03356,216.0035,C4H9O8P,3-Phospho-D-erythronate,[M+H]+,15,Ms2,0.998723880582642,0.998723880582642,1,0.993766639513509,12,0,0,0.000352411502704486,M217T179: C04309,C04309,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M164T590,164.067058491301,590.057328,5433420.140526,C20639,163.0593,C4H9N3O4,O-Ureido-L-serine,[M+H]+,0,Ms2,0.999967150868236,0.997225780122754,1,0.989695909282679,12,0,0,0.000271599798376432,M164T476: C20651,C20651,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M208T655,208.039605105431,655.48092,3713446.737316,C17210,208.0405,C7H12O5S,2-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.999473359880416,0.999473359880416,1,0.863762921700503,12,0,0,0.000302569393677787,M208T633: C17212,C17212,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M208T655,208.039605105431,655.48092,3713446.737316,C17212,208.0405,C7H12O5S,3-(2'-Methylthio)ethylmalic acid,[M]+,4,Ms2,0.999473359880416,0.999473359880416,1,0.863762921700503,12,0,0,0.000302569393677787,M208T633: C17210,C17210,RC00497,C1b-C1c:*-O1a:C1d+C6a-C1c+C6a C1d-C1c:O1a-*:C1b+C1b+C6a-C1b+C1c+C6a O1a-O1a:C1d+*-*+C1c:*-*
M217T63,217.0146484375,62.553408,4398306.129593,C04309,197.9929,C4H7O7P,Phosphoenol-4-deoxy-3-tetrulosonate,[M+H+H2O]+,15,Ms2,0.998723880582642,0.998723880582642,1,0.993766639513509,12,0,0,0.000353480621368307,M217T179: C03356,C03356,RC01099,C1b-C2a:O1a-*:C1c-C2c C1c-C2c:*-*:C1b+C1c+O2b-C2a+C1c+O2b
M227T682,226.951767157215,681.8763,4785936.523758,C12834,207.933,C6H2Cl2O4,"2,5-Dichloro-carboxymethylenebut-2-en-4-olide",[M+H+H2O]+,2,Ms2,0.924781968919134,0.882839805892146,0.25,0.0665759817986668,12,0,0,0.000761057195236114,M227T60: C12835,C12835,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
M220T253,219.972797004942,252.528204,6785447.192017,C03664,219.9694,C8H6Cl2O3,"2,4-Dichlorophenoxyacetate",[M]+,15,Ms1,0.390583147416163,0.475926916017783,0.111111111111111,4.81980563279535E-07,12,0,0,0.00187609112030418,M181T351: C02625,C02625,RC01372,O1a-O2a:*-C1b:C8y-C8y
M164T590,164.067058491301,590.057328,5433420.140526,C20651,163.0593,C4H9N3O4,O-Ureido-D-serine,[M+H]+,0,Ms2,0.999967150868236,0.997225780122754,1,0.989695909282679,12,0,0,0.000271599798376432,M164T476: C20639,C20639,RC00302,C1c-C1c:*-*:C1b+C6a+N1a-C1b+C6a+N1a
M227T682,226.951767157215,681.8763,4785936.523758,C12835,225.9436,C6H4Cl2O5,"2,5-Dichloro-4-oxohex-2-enedioate",[M+H]+,2,Ms2,0.924781968919134,0.882839805892146,0.25,0.0665759817986668,12,0,0,0.000757831452345537,M227T60: C12834,C12834,RC02686,C1c-C2c:*-*:C5a+C6a+X-C2y+C6a+X C5a-C2y:*-*:C1c+C2b+O5a-C2c+C2x+O7x C6a-C7x:O6a+*-*+O7x:C2c+O6a-C2y+O6a O5a-O7x:*-C7x:C5a-C2y
