xcms_id,mz,rt,rtmin,rtmax,maxInto,nticks,baseline,noise,area,integration,snRatio
M259T723,259.0961,723.34,720.93,726.95,788000,6,76100,456000,2210674.3828125,94.22,-8.4856
M474T936,474.3566,936.09,931.28,938.52,3040000,7,155000,1090000,6385767.81640625,93.87,-9.3583
M102T1047,102.0336,1047.18,1039.87,1048.38,34800000,8,1780000,14200000,145216909,67.13,-12.2641
M102T73,102.0549,72.94,71.76,87.27,656000,10,46100,461000,2008699.890625,71.66,-8.7691
M102T73_1,102.0549,72.94,71.76,78.89,656000,7,46100,323000,1796338.2734375,71.73,-8.4115
M102T86,102.1274,86.07,81.3,93.34,18400000,11,179000,1970000,88144205.3828125,37.55,-10.87
M102T136,102.1274,136.08,128.76,143.42,21100000,13,179000,2330000,126269476.125,57.05,-10.6187
M102T209,102.1274,209.3,203.23,211.75,592000,8,179000,1440000,3120598.5,0.56,-14.7512
M102T226,102.1274,226.3,216.57,227.51,576000,10,179000,1790000,4040347.15625,0.72,-14.7332
M260T85,260.1241,84.86,83.66,92.12,356000,8,55800,446000,930741.306640625,52.72,-9.044
M260T457,260.1489,457.27,452.44,462.15,5500000,9,74900,674000,14951912.3671875,96.27,-8.8534
M260T276,260.16,275.95,272.31,280.77,1020000,8,120000,962000,2791001.9453125,10.44,-11.4308
M260T288,260.16,288.03,283.2,294.14,5890000,10,120000,1200000,13415585.8710938,69.36,-9.7607
M260T310,260.16,309.86,306.25,314.74,1030000,8,120000,962000,2435311.4765625,9.46,-11.5293
M260T323,260.16,323.16,313.52,325.58,867000,7,120000,842000,1840184.44140625,6.51,-11.7697
M260T208,260.1965,208.07,202,215.35,1870000,11,160000,1760000,8049953.04296875,100,-9.7759
M260T208_1,260.1965,208.07,202,215.35,1870000,11,160000,1760000,8049953.04296875,100,-9.7759
M475T516,475.3367,515.65,508.4,522.97,866000,12,68000,816000,3329366.64453125,35.92,-10.0304
M475T784,475.3367,783.91,777.87,791.16,703000,12,68000,816000,2262155.7109375,21.47,-10.5452
M475T855,475.3367,854.66,847.38,861.95,851000,12,68000,816000,2573181.29296875,25.69,-10.3659
M103T65,102.5353,64.55,59.73,65.74,540000,6,95500,573000,1360465.234375,4.16,-11.8334
M103T65_1,102.9701,64.55,54.93,66.94,512000,11,62900,692000,1673739.35546875,62.27,-9.3152
M103T1047,102.5353,1047.18,1039.87,1048.38,3490000,8,95500,764000,12545743.9199219,60.78,-9.4389
M103T86,103.1308,86.07,83.66,93.34,1030000,9,78400,706000,4086568.9375,32.1,-9.9983
M103T136,103.1308,136.08,128.76,143.42,1380000,13,78400,1020000,7569609.67578125,67.9,-9.6168
M261T288,261.0978,288.03,285.61,291.77,821000,6,88200,529000,1959641.7265625,100,-8.5745
M261T288_1,261.0978,288.03,285.61,291.77,821000,6,88200,529000,1959641.7265625,100,-8.5745
M261T240,261.1438,239.6,226.3,244.45,1340000,16,131000,2090000,8136032.48828125,35.2,-10.9919
M261T240_1,261.1438,239.6,232.37,244.45,1340000,11,131000,1440000,6688455.8203125,35.2,-10.6172
M261T303,261.1438,302.62,300.22,309.86,3850000,9,131000,1180000,9962318.07421875,51.24,-10.0413
M261T335,261.1438,335.22,320.75,337.65,747000,11,131000,1440000,2893024.75390625,9.65,-11.9118
M477T795,477.3186,794.77,786.33,798.4,228000,8,46500,372000,799714.763671875,65.71,-8.6411
M262T368,262.1644,367.92,363.12,373.94,1230000,8,68100,544000,3212282.51953125,12.99,-10.6437
M262T434,262.1644,434.34,428.34,444.02,6790000,14,68100,953000,16946954.8652344,77.04,-9.4228
M262T450,262.1644,450.04,441.53,453.64,620000,9,68100,613000,1607927.96875,5.28,-11.6614
M104T1048,104.0302,1048.38,1041.08,1048.38,609000,7,43200,302000,2295083.0234375,83.97,-8.1884
M104T56,104.0392,56.13,51.34,66.94,1610000,12,57500,690000,6420322.34765625,79.56,-9.0675
M104T65,104.0392,64.55,63.35,82.46,441000,8,57500,460000,1229391.3203125,10.41,-10.6955
M104T93,104.0392,93.34,90.9,100.67,189000,9,57500,517000,1046559.125,13.35,-10.565
M104T79,104.0703,78.89,71.76,86.07,11300000,13,178000,2310000,50672771.265625,66.13,-10.4612
M104T803,104.0703,803.23,799.61,806.86,533000,7,178000,1240000,2536783.671875,1.68,-13.5139
M104T72,104.1067,71.76,70.55,78.89,20000000,8,92300,738000,65459580.25,81.42,-9.1124
M104T74,104.1067,74.11,74.11,88.49,8260000,13,92300,1200000,17841085.71875,12.85,-11.4439
M104T78,104.1067,77.69,77.69,92.12,1590000,13,92300,1200000,4270042.3203125,2.41,-13.1176
M263T341,263.1422,341.28,325.58,343.71,664000,8,79700,638000,2492080.265625,28.04,-10.032
M263T370,263.1422,370.33,363.12,371.52,2440000,8,79700,638000,4782454.15234375,80.71,-8.9748
