,physic_x,physic_y,block_x,block_y,r,g,b,black_pixels,black_density,black_ratio,#8230b8_pixels,#8230b8_density,#8230b8_ratio
"51,141",51,141,5,14,204.49,88.49,209.17,0,0,0,0,0,0
"51,151",51,151,5,15,215.25,103.22,212.24,0,0,0,0,0,0
"51,161",51,161,5,16,218.65,110.35,221.38,0,0,0,0,0,0
"51,171",51,171,5,17,236.21,198.67,243.63,0,0,0,0,0,0
"51,181",51,181,5,18,251.37,246.13,251.66,0,0,0,0,0,0
"51,191",51,191,5,19,251.16,243.99,250.92,0,0,0,0,0,0
"51,201",51,201,5,20,252.7,246.18,252.82,0,0,0,0,0,0
"51,211",51,211,5,21,252.14,247.14,252.94,0,0,0,0,0,0
"51,221",51,221,5,22,252.56,247.58,253.45,0,0,0,0,0,0
"51,231",51,231,5,23,252.84,247.94,253.69,0,0,0,0,0,0
"51,241",51,241,5,24,252.17,247.23,253.1,0,0,0,0,0,0
"51,251",51,251,5,25,252.07,245.83,252.27,0,0,0,0,0,0
"51,261",51,261,5,26,242.4,214.43,244.96,0,0,0,0,0,0
"51,271",51,271,5,27,228.33,172.25,236,0,0,0,0,0,0
"51,281",51,281,5,28,232.64,155.25,228.66,0,0,0,0,0,0
"51,291",51,291,5,29,228.97,123.99,221.1,0,0,0,0,0,0
"51,301",51,301,5,30,192.15,86.35,203.21,0,0,0,0,0,0
"51,311",51,311,5,31,181.02,69.28,199.77,0,0,0,0,0,0
"51,321",51,321,5,32,185.24,69.62,201.7,0,0,0,0,0,0
"51,331",51,331,5,33,222.39,111.27,218.16,0,0,0,0,0,0
"51,341",51,341,5,34,227.29,136.1,228.16,0,0,0,0,0,0
"51,351",51,351,5,35,248.7,222.98,244.94,0,0,0,0,0,0
"51,361",51,361,5,36,235.7,159.49,232.78,0,0,0,0,0,0
"51,371",51,371,5,37,237.26,146.31,226.07,0,0,0,0,0,0
"51,381",51,381,5,38,224.37,108.28,206.62,0,0,0,0,0,0
"51,391",51,391,5,39,178.04,67.81,191.68,0,0,0,0,0,0
"51,401",51,401,5,40,147.18,47.62,186.28,0,0,0,8,0.26,0.08
"51,411",51,411,5,41,174.72,62.9,199.15,0,0,0,0,0,0
"51,421",51,421,5,42,211.54,83.19,212.71,0,0,0,0,0,0
"51,431",51,431,5,43,226.02,96.93,215.6,0,0,0,0,0,0
"51,441",51,441,5,44,222.37,150.22,231.14,0,0,0,0,0,0
"51,451",51,451,5,45,230.32,189.65,223.46,0,0,0,0,0,0
"51,461",51,461,5,46,137.96,52.44,181.2,0,0,0,9,0.19,0.09
"51,471",51,471,5,47,185.88,122.84,217.42,0,0,0,6,0.2,0.06
"51,481",51,481,5,48,222.74,125.6,223.65,0,0,0,0,0,0
"51,491",51,491,5,49,228.52,101.71,215.04,0,0,0,0,0,0
"51,501",51,501,5,50,197.39,79.63,205.76,0,0,0,0,0,0
"51,511",51,511,5,51,176.89,62.7,204.12,0,0,0,0,0,0
"51,521",51,521,5,52,206.88,91.19,215.61,0,0,0,0,0,0
"51,531",51,531,5,53,219.16,124.84,222.65,0,0,0,0,0,0
"51,541",51,541,5,54,180.52,79.89,209.28,0,0,0,3,0.07,0.03
"51,551",51,551,5,55,178.16,77.7,212.41,0,0,0,0,0,0
"51,561",51,561,5,56,225.17,108.09,213.01,0,0,0,0,0,0
"51,571",51,571,5,57,226.54,90.2,212.36,0,0,0,0,0,0
"51,581",51,581,5,58,228.05,108.19,215.46,0,0,0,0,0,0
"51,591",51,591,5,59,231.38,138.57,220.44,0,0,0,0,0,0
"51,601",51,601,5,60,242.8,205.86666666666667,237.74444444444444,0,0,0,0,0,0
